id,name,city_name,address,city_id,slug,latitude,longitude,is_open,usd,cash_in,is_nfc,is_digital,payment_terminal,working_weekends,working_hours,notes
362,Bakıxanov filialı,Bakı,"Bakıxanov qəsəbəsi, S.Qocayev küç.,13A, B, C",1,bakixanov-filiali-613,40.41674316787991,49.965307026218376,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
924,İnşaatçılar filialı,Bakı,"Bakı şəhəri, Yasamal rayonu, A.M.Şərifzadə küçəsi 162",1,insaatcilar-filiali,40.38931435951659,49.80316549713975,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
1367,Logistika şöbəsi,Bakı,"Bakı şəhəri, Qaradağ rayonu, Lökbatan qəsəbəsi, Lökbatan-Qobu yolu 10",1,logistika-shobesi,40.326252,49.7573891,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
1368,Nərimanov filialı,Bakı,"Bakı şəhəri, Nərimanov rayonu, Əhməd Rəcəbli küçəsi 9",1,nerimanov-rayon-filiali,40.40418144976618,49.867596143155055,1,0,0,0,0,0,0,Mon-Fri: 09:00-17:00; Sat: ; Sun: ,
1370,38 saylı Notariat Şöbə,Bakı,"Bakı şəh., Nərimanov ray., Atatürk pr. 36",1,38-sayli-notariat-sobe,40.40335556013043,49.85094249708956,1,0,0,0,0,0,0,Mon-Fri: 10:00-18:00; Sat: ; Sun: ,
1373,Azadlıq filialı,Bakı,"Bakı şəhəri, Binəqədi şossesi",1,azadliq-filiali,40.43374838651857,49.8431265327235,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
1376,KOB mərkəzi filialı,Bakı,"Bakı şəhəri, Nərimanov rayonu, Həsən Əliyev 143",1,kob-merkezi-filiali,40.408145893778,49.86354423265598,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
1377,28 Mall Birbank Rəqəmsal Mərkəz,Bakı,"Bakı şəhəri, Azadlıq prospekti 15a/4 (28 Mall ticarət mərkəzinin daxilində)",1,b-08,40.3790725053831,49.8467612895239,1,0,0,0,1,0,0,Mon-Fri: 10:00-22:00; Sat: 10:00-22:00; Sun: 10:00-22:00,
1378,Gənclik Mall Birbank Rəqəmsal Mərkəz,Bakı,"Bakı şəhəri, Fətəli Xan Xoyski küçəsi 14 (Gənclik Mall ticarət mərkəzinin daxilində)",1,b-07,40.40017143119143,49.85266439671273,1,0,0,0,1,0,1,Mon-Fri: 10:00-22:00; Sat: 10:00-22:00; Sun: 10:00-22:00,
1379,Nərimanov Birbank Rəqəmsal Mərkəz,Bakı,"Bakı şəhəri, Ağa Nemətulla küçəsi 54 (Nəriman Nərimanov m/s yaxınlığında)",1,b-14,40.40515301282489,49.87046310095197,1,0,0,0,1,0,1,Mon-Fri: 10:00-19:00; Sat: 10:00-19:00; Sun: 10:00-19:00,
